epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
1966/67,1968-04-14,V,D1,R22,Benfica,(C),AD Sanjoanense,6-0,90,4,264,309
1966/67,1968-04-28,V,D1,R24,Benfica,(C),Sporting,1-0,90,1,265,310
1966/67,1968-05-05,E,D1,R25,Benfica,(F),FC Porto,1-1,90,1,266,311
1966/67,1968-05-09,V,UCL,SF,Benfica,(C),Juventus,2-0,90,1,267,312
1966/67,1968-05-12,V,D1,R26,Benfica,(C),Varzim,8-0,90,6,268,318
1966/67,1968-05-15,V,UCL,SF,Benfica,(F),Juventus,0-1,90,1,269,319
1966/67,1968-05-29,D,UCL,F,Benfica,(N),Manchester United,4-1 (a.p.),120,0,270,319
1966/67,1968-06-02,E,TP,SF,Benfica,(C),FC Porto,2-2,90,1,271,320
1967/68,1968-09-08,V,D1,R1,Benfica,(C),Belenenses,4-1,90,2,272,322
1967/68,1968-09-15,V,D1,R2,Benfica,(F),SC Braga,0-1,90,0,273,322
1967/68,1968-09-18,E,UCL,1R,Benfica,(F),Valur,0-0,90,0,274,322
1967/68,1968-09-22,V,D1,R3,Benfica,(C),Vitória FC,2-1,90,0,275,322
1967/68,1968-10-02,V,UCL,1R,Benfica,(C),Valur,8-1,90,1,276,323
1968/69,1968-10-27,V,ECM,1,Portugal,(C),Romênia,3-0,90,0,277,323
1967/68,1968-11-03,V,D1,R7,Benfica,(C),Atlético CP,4-3,90,0,278,323
1967/68,1968-11-10,E,D1,R8,Benfica,(F),Sporting,0-0,90,0,279,323
1967/68,1968-11-24,D,D1,R10,Benfica,(F),Fabril Barreiro,3-0,90,0,280,323
1967/68,1968-12-01,V,D1,R11,Benfica,(C),Académica OAF,3-2,60,0,281,323
1967/68,1968-12-11,D,ECM,1,Portugal,(F),Grécia,4-2,90,1,282,324
1967/68,1968-12-15,D,D1,R12,Benfica,(F),FC Porto,1-0,73,0,283,324
1967/68,1968-12-29,V,D1,R14,Benfica,(F),Belenenses,1-2,90,0,284,324
1967/68,1969-01-05,V,D1,R15,Benfica,(C),SC Braga,5-0,90,1,285,325
1967/68,1969-01-19,E,D1,R16,Benfica,(F),Vitória FC,1-1,76,0,286,325
1967/68,1969-01-26,V,D1,R17,Benfica,(C),AD Sanjoanense,5-0,75,1,287,326
1967/68,1969-02-02,E,D1,R18,Benfica,(F),Leixões,0-0,68,0,288,326
1967/68,1969-02-09,V,TP,1/32,Benfica,(C),U. Almeirim,8-0,60,3,289,329
1967/68,1969-02-12,V,UCL,QF,Benfica,(F),Ajax,1-3,90,0,290,329
1967/68,1969-02-16,V,D1,R19,Benfica,(C),Varzim,3-1,90,0,291,329
1967/68,1969-02-19,D,UCL,QF,Benfica,(C),Ajax,1-3,90,0,292,329
1967/68,1969-02-23,V,D1,R20,Benfica,(F),Atlético CP,0-2,90,2,293,331
1967/68,1969-03-02,E,D1,R21,Benfica,(C),Sporting,0-0,90,0,294,331
1967/68,1969-03-05,D,UCL,QF,Benfica,(N),Ajax,3-0 (a.p.),120,0,295,331
1967/68,1969-03-09,V,TP,1/16,Benfica,(C),FC Porto,3-0,90,2,296,333
1967/68,1969-03-16,D,D1,R22,Benfica,(F),Vitória SC,2-0,90,0,297,333
1967/68,1969-03-23,V,D1,R23,Benfica,(C),Fabril Barreiro,1-0,90,1,298,334
1967/68,1969-03-30,V,D1,R24,Benfica,(F),Académica OAF,0-2,90,2,299,336
1968/69,1969-04-16,D,ECM,1,Portugal,(C),Suíça,0-2,90,0,300,336
1967/68,1969-04-20,E,D1,R25,Benfica,(C),FC Porto,0-0,90,0,301,336
1967/68,1969-04-27,V,D1,R26,Benfica,(F),U. Tomar,0-4,90,1,302,337
1967/68,1969-05-04,E,ECM,1,Portugal,(C),Grécia,2-2,90,1,303,338
1967/68,1969-05-10,V,TP,1/8,Benfica,(F),ASA,0-4,n/d,3,304,341
1967/68,1969-05-14,V,TP,1/8,Benfica,(C),ASA,3-2,90,2,305,343
1967/68,1969-05-25,V,TP,QF,Benfica,(F),Belenenses,0-1,90,1,306,344
1967/68,1969-06-01,E,TP,QF,Benfica,(C),Belenenses,2-2,90,2,307,346
1967/68,1969-06-07,V,TP,SF,Benfica,(C),Fabril Barreiro,5-1,90,3,308,349
1967/68,1969-06-15,E,TP,SF,Benfica,(F),Fabril Barreiro,2-2,90,1,309,350
1967/68,1969-06-22,V,TP,F,Benfica,(C),Académica OAF,2-1 (a.p.),120,1,310,351
1968/69,1969-09-14,V,D1,R2,Benfica,(C),Vitória SC,5-0,83,0,311,351
1968/69,1969-09-17,V,UCL,1R,Benfica,(C),KB,2-0,90,2,312,353
1968/69,1969-09-21,V,D1,R3,Benfica,(F),Belenenses,0-1,90,1,313,354
1968/69,1969-09-27,V,D1,R4,Benfica,(C),Académica OAF,3-0,66,1,314,355
1968/69,1969-10-01,V,UCL,1R,Benfica,(F),KB,2-3,90,1,315,356
1968/69,1969-10-12,D,ECM,1,Portugal,(F),Romênia,1-0,90,0,316,356
1968/69,1969-10-19,V,D1,R5,Benfica,(F),Fabril Barreiro,0-2,74,0,317,356
1968/69,1969-10-25,V,D1,R6,Benfica,(C),Boavista FC,8-0,90,6,318,362
1968/69,1969-11-02,E,ECM,1,Portugal,(F),Suíça,1-1,90,1,319,363
1968/69,1969-11-09,D,D1,R7,Benfica,(F),Sporting,1-0,90,0,320,363
1968/69,1969-11-12,D,UCL,2R,Benfica,(F),Celtic,3-0,45,0,321,363
1968/69,1969-11-26,V,UCL,2R,Benfica,(C),Celtic,3-0,45,1,322,364
1968/69,1969-12-14,E,D1,R11,Benfica,(F),Barreirense,2-2,90,1,323,365
1968/69,1969-12-21,V,D1,R12,Benfica,(C),FC Porto,2-0,90,1,324,366
1968/69,1969-12-28,V,D1,R13,Benfica,(F),Varzim,0-1,90,0,325,366
1968/69,1970-01-03,V,D1,R14,Benfica,(C),Leixões,3-0,90,1,326,367
1968/69,1970-01-17,D,D1,R15,Benfica,(F),Vitória SC,2-1,90,0,327,367
1968/69,1970-01-24,E,D1,R16,Benfica,(C),Belenenses,0-0,90,0,328,367
1968/69,1970-01-31,V,D1,R17,Benfica,(F),Académica OAF,0-2,90,1,329,368
1968/69,1970-02-07,D,D1,R18,Benfica,(C),Fabril Barreiro,0-1,90,0,330,368
1968/69,1970-02-15,D,TP,1/16,Benfica,(F),Vitória FC,3-2,45,0,331,368
1968/69,1970-02-21,E,D1,R19,Benfica,(F),Boavista FC,1-1,35,1,332,369
1968/69,1970-03-01,E,D1,R20,Benfica,(C),Sporting,1-1,90,0,333,369
1968/69,1970-03-07,V,D1,R21,Benfica,(F),SC Braga,1-3,90,2,334,371
1968/69,1970-03-14,V,D1,R22,Benfica,(C),Vitória FC,2-1,90,1,335,372
1968/69,1970-03-22,V,TP,1/16,Benfica,(C),Vitória FC,2-0,90,1,336,373
1968/69,1970-03-29,V,D1,R23,Benfica,(F),U. Tomar,0-4,90,3,337,376
1968/69,1970-04-04,V,D1,R24,Benfica,(C),Barreirense,3-0,90,1,338,377
1968/69,1970-04-11,V,D1,R25,Benfica,(F),FC Porto,1-2,90,0,339,377
1968/69,1970-04-18,V,D1,R26,Benfica,(C),Varzim,1-0,90,0,340,377
1969/70,1970-09-12,V,D1,R1,Benfica,(C),Fabril Barreiro,1-0,90,1,341,378
1969/70,1970-09-16,E,TT,1R,Benfica,(F),Olimpija,1-1,90,1,342,379
1969/70,1970-09-20,E,D1,R2,Benfica,(F),Sporting,1-1,90,0,343,379
1969/70,1970-09-25,V,D1,R3,Benfica,(C),Boavista FC,4-0,90,0,344,379
1969/70,1970-09-30,V,TT,1R,Benfica,(C),Olimpija,8-1,90,5,345,384
1969/70,1970-10-04,E,D1,R4,Benfica,(F),Vitória SC,0-0,90,0,346,384
1970/71,1970-10-13,V,EE,5,Portugal,(F),Dinamarca,0-1,90,0,347,384
1969/70,1970-10-17,E,D1,R5,Benfica,(C),FC Porto,2-2,90,0,348,384
1969/70,1970-10-21,V,TT,2R,Benfica,(C),1. FC Frankfurt,2-0,90,1,349,385
1969/70,1970-10-25,E,D1,R6,Benfica,(F),Belenenses,1-1,90,1,350,386
1969/70,1970-11-29,D,D1,R11,Benfica,(F),Vitória FC,2-0,90,0,351,386
