epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
2017/18,2018-02-28,V,CF,QF,PSG,(C),Marseille,3-0,45,0,110,51
2017/18,2018-03-06,D,UCL,1/8,PSG,(C),Real Madrid,1-2,85,0,111,51
2017/18,2018-03-10,V,D1,R29,PSG,(C),Metz,5-0,90,1,112,52
2017/18,2018-03-14,V,D1,R31,PSG,(C),Angers,2-1,90,2,113,54
2017/18,2018-03-18,V,D1,R30,PSG,(F),Nice,1-2,90,0,114,54
2017/18,2018-03-23,D,AMI,JA,França,(C),Colômbia,2-3,66,0,115,54
2017/18,2018-03-27,V,AMI,JA,França,(F),Rússia,1-3,86,2,116,56
2017/18,2018-03-31,V,CL,F,PSG,(N),Monaco,3-0,90,0,117,56
2017/18,2018-04-06,E,D1,R32,PSG,(F),Saint-Étienne,1-1,90,0,118,56
2017/18,2018-04-18,V,CF,SF,PSG,(F),Caen,1-3,88,2,119,58
2017/18,2018-04-22,V,D1,R34,PSG,(F),Bordeaux,0-1,81,0,120,58
2017/18,2018-04-29,E,D1,R35,PSG,(C),Guingamp,2-2,90,0,121,58
2017/18,2018-05-04,E,D1,R36,PSG,(F),Amiens SC,2-2,6,0,122,58
2017/18,2018-05-08,V,CF,F,PSG,(F),Les Herbiers,0-2,86,0,123,58
2017/18,2018-05-12,D,D1,R37,PSG,(C),Rennes,0-2,90,0,124,58
2017/18,2018-05-28,V,AMI,JA,França,(C),Rep. Irlanda,2-0,77,0,125,58
2017/18,2018-06-01,V,AMI,JA,França,(C),Itália,3-1,83,0,126,58
2017/18,2018-06-09,E,AMI,JA,França,(C),Estados Unidos,1-1,88,1,127,59
2017/18,2018-06-16,V,CM,C,França,(N),Austrália,2-1,90,0,128,59
2017/18,2018-06-21,V,CM,C,França,(N),Peru,1-0,75,1,129,60
2017/18,2018-06-26,E,CM,C,França,(N),Dinamarca,0-0,12,0,130,60
2017/18,2018-06-30,V,CM,1/8,França,(N),Argentina,4-3,88,2,131,62
2017/18,2018-07-06,V,CM,QF,França,(N),Uruguai,0-2,88,0,132,62
2017/18,2018-07-10,V,CM,SF,França,(N),Bélgica,1-0,90,0,133,62
2017/18,2018-07-15,V,CM,F,França,(N),Croácia,4-2,90,1,134,63
2018/19,2018-08-18,V,D1,R2,PSG,(F),Guingamp,1-3,45,2,135,65
